exercise_id,name_en,name_nl,focus,difficulty,senior_safe,puppy_safe,equipment,impact,progression_level,duration_type,reps_duration,video_url,contra_indications,coaching_cues,tags
IYC_001,It's Your Choice,It's Your Choice,mental control,beginner,TRUE,TRUE,none,low,base,hold,multiple sessions,,,"Open hand with treats - mark when dog shows self-control, not when taking treats","impulse_control,foundation,mental,self_control"
MAT_001,Go to Mat,Ga naar matje,mental control,beginner,TRUE,TRUE,mat,low,base,hold,stay until release,,,"Mark interest in mat first - build to 4 paws - then add distance","foundation,mental,targeting,distance_work"
TOUCH_001,Paw Target,Pootje tik,mental control,beginner,TRUE,TRUE,target,low,base,instant,single touch,,,"Similar to mat work but smaller target - dog taps with one paw","foundation,mental,targeting,paw_awareness"
NOSE_001,Nose Touch,Nose touch,mental control,beginner,TRUE,TRUE,none,low,base,instant or hold,brief touch or sustained,,,"Fleeting touch - moving hand follow - or hold variations available","foundation,mental,hand_targeting"
VITO_001,Vito Game Customized,Vito Game Customized,body awareness,intermediate,TRUE,FALSE,"buckets, cone, platform or mat",low,base,reps,multiple reps,,,"Dog alternates between two buckets - learns to go around cone - builds to obstacle courses","shaping,operant_conditioning,body_awareness,problem_solving"
2PAWS_001,Two Paws On,2 Pootjes op,"rear_end, core, strength",beginner,TRUE,TRUE,"step, platform",low,base,hold,5-15 sec hold,https://youtube.com/shorts/yIKomPAxRSo,"knee injury front limbs, shoulder issues","Neutral spine - nose parallel to ground - weight on hindquarters - calm controlled stance","rear_end,core,weight_shift,foundation,low_impact"
2FEET_001,Two Feet On,2 Voetjes op,"rear_end_awareness, core",intermediate,TRUE,FALSE,"platform, balance pad",low,intermediate,hold,10-15 sec,,"hip issues, rear leg injury","Rear paws on platform - front paws on ground - neutral spine - weight forward","rear_awareness,proprioception,core,balance"
4ON2_001,Four Paws on Two,4 Pootjes op 2,core,intermediate,TRUE,FALSE,"two platforms or steps",medium,intermediate,hold,10-20 sec,,"severe back issues, shoulder problems","Front paws on front platform - rear paws on rear platform - straight back - neutral head","core,stabilization,foundation,body_awareness"
SHIFT_001,Weight Shifts,Weight shifts,core,intermediate,TRUE,FALSE,"two platforms or steps",medium,intermediate,hold,multiple shifts,,"balance issues, severe arthritis","Dog in 4-on-2 position - handler moves around - dog follows with head - paws stay in place","core,stabilization,balance,proprioception"
BACK_001,Backwards Walking,Achterwaarts stappen,"front_end, core, body_awareness",intermediate,TRUE,FALSE,"corridor or guides, target",medium,intermediate,reps,3-5 steps,,,"Dog walks backward in straight line - front end pushes body back - no hopping","front_end,core,proprioception,coordination"
TUCK_001,Tuck Sit - Kickback Stand,Tuck Sit - Kickback Stand,"core, low_back, shoulders",advanced,FALSE,FALSE,"platform 3-5cm thick",high,advanced,reps,5-10 reps,,"shoulder injury, lower back issues","Front paws stay in place - rear hops under for sit - kicks back for stand - square sits only","core,dynamic_strength,rear_end,plyometric"
ROCK_001,Rockback Sit - Hop Forward,Kickback stand,"rear_end, core",advanced,FALSE,FALSE,"platform 3-5cm thick",high,advanced,reps,5-10 reps,,"hip dysplasia, rear leg injury, back problems","Rear paws stay - front paws hop back to sit - hop forward to stand - no front paw sliding","rear_end,dynamic_strength,core,plyometric"
SQUAT_001,Squat,Squat,"rear_end, core",advanced,FALSE,FALSE,"elevated platform front, target rear",high,advanced,reps,5-10 reps,,"knee issues, hip dysplasia","Front paws elevated - dog lowers into sit keeping front paws in place - pushes up from rear","rear_end,strength,eccentric,core"
PIVOT_001,Pivot,Pivot,"rear_end, core, lateral_muscles",intermediate,TRUE,FALSE,"round platform or disc",medium,intermediate,reps,half to full circles,,"hip issues, spine problems","Front paws on platform - rear walks around in circle - straight back throughout - both directions","rear_end,core,lateral_work,body_awareness"
BEND_001,Stand-Bow-Stand,Staan - Buigen - staan,"shoulders, flexibility, core",intermediate,TRUE,FALSE,"two platforms",medium,intermediate,hold,10-15 sec stretch,,"shoulder injury, elbow dysplasia","Dog stretches forward and down - shoulders extend fully - rear stays elevated - controlled movement","flexibility,shoulders,core,front_end"
DOWN_001,Stand-Down-Stand,Staan - Liggen - Staan,full_body,advanced,FALSE,FALSE,"two platforms",high,advanced,reps,3-5 reps,,"elbow issues, shoulder problems, weak core","From stand to down keeping all paws in place - equal push from front and rear to stand","full_body,strength,core,control"
CAV_001,Cavaletti Trot,Cavaletti in draf,"coordination, flexibility, full_body",intermediate,TRUE,TRUE,"6+ poles, spacing equal to shoulder height",medium,intermediate,reps,through 6 poles,,,"Dog trots through poles - alternating stride pattern - head forward - extended reach","coordination,flexibility,gait_training,cardio"
HIGH_001,Cavaletti High Step,Cavaletti - Highsteppen,"flexibility, strength, ROM",advanced,FALSE,FALSE,"4 poles, height above hock, close spacing",high,advanced,reps,through 4 poles,,"arthritis, joint issues","Poles higher and closer - dog steps deliberately - high knee lift - one paw per space","ROM,flexibility,strength,coordination"
FRONT_001,Paw Forward,Pootje naar voor,"shoulders, ROM, stability",intermediate,TRUE,FALSE,"two platforms - front higher",medium,intermediate,hold,5-10 sec per paw,,"shoulder injury, elbow dysplasia","One front paw reaches forward to elevated platform - other three paws stationary - alternating","shoulders,ROM,stability,proprioception"
SIDE_001,Paw to Side,Pootje opzij,"shoulders, ROM, stability",intermediate,TRUE,FALSE,"platform with side targets",medium,intermediate,hold,5-10 sec per paw,,"shoulder injury, range of motion limitations","One front paw moves laterally to side platform - other paws stay - tests shoulder abduction","shoulders,ROM,lateral,stability"
PUSH_001,Push Up,Push Up,"shoulders, core, stability",advanced,FALSE,FALSE,"two platforms - significant height difference",high,advanced,hold,5-10 sec,,"shoulder weakness, elbow issues, core instability","Front elevated - nose moves forward then down - weight shifts heavily forward - forearms vertical","shoulders,advanced,core,eccentric"
POP_001,Pop Up,Pop Up,"rear_end, core, power",advanced,FALSE,FALSE,platform,high,advanced,reps,5-8 reps,,"rear leg injury, hip dysplasia, back problems","From sit - front paws lift - rear pushes up slightly - controlled descent back to sit position","rear_end,power,core,plyometric"
SIDE_STEP_001,Sideways Stepping,Zijwaarts stappen,"full_body, lateral_muscles",intermediate,TRUE,FALSE,"long narrow platforms optional",medium,intermediate,reps,5-10 steps each direction,,"severe arthritis, balance issues","Dog side-steps following handler - distinct lateral movement - straight spine - both directions","lateral,full_body,coordination,abduction_adduction"
TWIST_001,Twist & Twirl,Twist & Twirl,"spine, lateral_flexibility, core",intermediate,TRUE,FALSE,"narrow platform optional",medium,intermediate,reps,full rotation both ways,,"spine issues, severe back problems","Dog spins 360 degrees tightly - maximum lateral spine bend - four paws move separately - both directions","spine,flexibility,rotation,core"
EIGHT_001,Figure 8s,8'tjes maken,"full_body, lateral_bend, cardio",beginner,TRUE,TRUE,"two cones",low,base,reps,multiple figure 8s,,,"Dog weaves figure-8 pattern around cones - smooth curves - equal bend both directions","coordination,cardio,lateral_bend,conditioning"
COOKIE_001,Cookie Stretch - Nose to Hip,Cookie stretches,"spine, neck, lateral_flexibility",beginner,TRUE,TRUE,treats,low,base,hold,10-20 sec,,"severe neck issues, spine problems","Lure nose to hip/knee/hock - hold stretch - various positions work different spine regions","flexibility,stretching,ROM,spine"
HIND_STRETCH_001,Rear End Stretch,Achterhand rek,"rear_end, hip_flexors, core",intermediate,TRUE,FALSE,low_platform,low,intermediate,hold,10-15 sec,,"hip injury, psoas issues","Rear paws on platform - dog reaches forward maximally - stretches hip flexors and psoas - hold position","flexibility,rear_end,hip_flexors,core_stability"
strenght_001,Squat,Squat,strength,hard,TRUE,FALSE,"Target, high target",high,advanced,reps,5,https://youtube.com/shorts/yIKomPAxRSo,,,advanced_strength
PP2_001,Two Paws On,2 pootjes op,"balance, core, strength",beginner,TRUE,TRUE,"step, platform",medium,base,hold,"5-15 sec hold, 3-5 reps",https://youtube.com/shorts/yIKomPAxRSo,"knee injury (front limbs), shoulder issues","Neutral spine, nose parallel to the ground, weight on hindquarters, calm controlled stance","rear_end, core, weight_shift, foundation, low_impact"